# time	x	v

112.878115	8786.874943558369	90.61213989500027
112.978115	8795.92707481189	90.4305759573946
113.078115	8804.96107687903	90.24955589538044
113.178115	8813.977004065844	90.06907807977603
113.278115	8822.974910515719	89.8891408862798
113.378115	8831.954850209851	89.7097426954558
113.478115	8840.916876967742	89.53088189271911
113.578115	8849.861044447669	89.35255686832127
113.678115	8858.787406147181	89.17476601733588
113.778115	8867.696015403575	88.99750773964408
113.878115	8876.586925394373	88.82078043992017
113.978115	8885.460189137802	88.64458252761726
114.078115	8894.31585949328	88.46891241695295
114.178115	8903.153989161876	88.29376852689505
114.278115	8911.974630686798	88.11914928114739
114.378115	8920.777836453859	87.94505310813555
114.478115	8929.56365869195	87.77147844099282
114.578115	8938.33214947351	87.59842371754603
114.678115	8947.083360714996	87.42588738030148
114.778115	8955.817344177347	87.25386787643097
114.878115	8964.534151466452	87.08236365775782
114.978115	8973.233834033617	86.9113731807429
115.078115	8981.916443176022	86.74089490647074
115.178115	8990.582030037189	86.57092730063574
115.278115	8999.230645607437	86.40146883352831
115.378115	9007.862340724343	86.23251798002109
115.478115	9016.477166073204	86.06407321955525
115.578115	9025.075172187484	85.89613303612683
115.678115	9033.656409449277	85.72869591827303
115.778115	9042.220928089755	85.56176035905867
115.878115	9050.768778189624	85.39532485606257
115.978115	9059.300009679573	85.2293879113641
116.078115	9067.814672340723	85.06394803152963
116.178115	9076.312815805073	84.89900372759914
116.278115	9084.794489555952	84.73455351507275
116.378115	9093.259742928461	84.57059591389746
116.478115	9101.708625109919	84.40712944845374
116.578115	9110.1411851403	84.24415264754232
116.678115	9118.557471912683	84.08166404437087
116.778115	9126.957534173684	83.91966217654087
116.878115	9135.341420523899	83.75814558603442
116.978115	9143.709179418342	83.5971128192011
117.078115	9152.06085916688	83.43656242674494
117.178115	9160.396507934667	83.27649296371132
117.278115	9168.716173742578	83.11690298947399
117.378115	9177.019904467641	82.9577910677221
117.478115	9185.307747843468	82.79915576644729
117.578115	9193.579751460686	82.64099565793076
117.678115	9201.835962767362	82.48330931873049
117.778115	9210.076429069433	82.32609532966835
117.878115	9218.301197531133	82.16935227581737
117.978115	9226.510315175412	82.01307874648903
118.078115	9234.703828884363	81.85727333522048
118.178115	9242.881785399646	81.701934639762
118.278115	9251.044231322903	81.54706126206426
118.378115	9259.191213116184	81.39265180826582
118.478115	9267.32277710236	81.23870488868056
118.578115	9275.43896946554	81.08521911778516
118.678115	9283.539836251492	80.93219311420664
118.778115	9291.625423368048	80.77962550070994
118.878115	9299.69577658553	80.62751490418552
118.978115	9307.750941537148	80.47585995563696
119.078115	9315.790963719423	80.32465929016873
119.178115	9323.815888492587	80.17391154697378
119.278115	9331.825761080998	80.02361536932145
119.293855	9333.085117606883	80.00000034379813
119.393855	9341.08888646182	80.07556566688152
119.493855	9349.100268807491	80.15227301357544
119.593855	9357.11937970708	80.23013964335652
119.693855	9365.146335962716	80.30918307654497
119.793855	9373.181256141774	80.38942109824671
119.893855	9381.224260603543	80.47087176235516
119.993855	9389.27547152631	80.55355339561333
120.093855	9397.335012934853	80.63748460173755
120.193855	9405.403010728338	80.72268426560329
120.293855	9413.479592708658	80.80917155749435
120.393855	9421.564888609184	80.89696593741628
120.493855	9429.659030123956	80.98608715947495
120.593855	9437.762150937311	81.07655527632132
120.693855	9445.87438675397	81.16839064366333
120.793855	9453.995875329569	81.26161392484607
120.893855	9462.126756501648	81.3562460955011
120.993855	9470.267172221127	81.45230844826607
121.093855	9478.417266584238	81.5498225975756
121.193855	9486.577185864944	81.64881048452469
121.293855	9494.747078547864	81.7492943818055
121.393855	9502.927095361665	81.85129689871886
121.493855	9511.117389312994	81.95484098626139
121.593855	9519.318115720896	82.05994994228962
121.693855	9527.52943225176	82.1666474167621
121.793855	9535.751498954798	82.27495741706072
121.893855	9543.984478298056	82.38490431339248
121.993855	9552.228535204973	82.49651284427291
122.093855	9560.483837091482	82.60980812209232
122.193855	9568.750553903688	82.72481563876616
122.293855	9577.0288581561	82.84156127147091
122.393855	9585.31892497045	82.96007128846644
122.493855	9593.620932115096	83.08037235500655
122.593855	9601.935060045023	83.20249153933872
122.693855	9610.261491942443	83.32645631879465
122.793855	9618.60041375801	83.4522945859727
122.893855	9626.952014252664	83.58003465501385
122.993855	9635.3164850401	83.70970526797255
123.093855	9643.69402062989	83.84133560128379
123.193855	9652.08481847123	83.97495527232788
123.293855	9660.489078997387	84.1105943460945
123.393855	9668.907005670786	84.24828334194751
123.493855	9677.338805028794	84.38805324049186
123.593855	9685.78468673019	84.52993549054436
123.693855	9694.24486360234	84.67396201620987
123.793855	9702.719551689082	84.82016522406428
123.893855	9711.208970299342	84.96857801044617
123.993855	9719.713342056471	85.11923376885858
124.093855	9728.232892948346	85.27216639748275
124.193855	9736.76785237821	85.42741030680531
124.293855	9745.318453216294	85.58500042736082
124.393855	9753.88493185221	85.74497221759124
124.493855	9762.467528248142	85.90736167182425
124.593855	9771.066485992842	86.07220532837215
124.693855	9779.682052356427	86.23954027775311
124.793855	9788.31447834603	86.40940417103668
124.893855	9796.964018762268	86.5818352283155
124.993855	9805.630932256578	86.75687224730488
125.093855	9814.315481389409	86.93455461207257
125.193855	9823.017932689307	87.11492230190024
125.293855	9831.738556712879	87.29801590027903
125.393855	9840.477628105671	87.48387660404101
125.493855	9849.235425663968	87.67254623262866
125.593855	9858.01223239752	87.86406723750436
